epoch,avg_loss,accuracy
1,4.72471379,0.239726
2,4.52237123,0.500000
3,4.33162840,0.506849
4,4.15708304,0.506849
5,3.99961823,0.506849
6,3.85618691,0.506849
7,3.72371982,0.506849
8,3.60052097,0.506849
9,3.48557183,0.506849
10,3.37800634,0.506849
11,3.27702613,0.506849
12,3.18193954,0.506849
13,3.09217230,0.506849
14,3.00724697,0.513699
15,2.92675688,0.506849
16,2.85034647,0.506849
17,2.77769926,0.506849
18,2.70853117,0.506849
19,2.64258660,0.506849
20,2.57963572,0.506849
21,2.51947195,0.506849
22,2.46190962,0.506849
23,2.40678177,0.506849
24,2.35393828,0.506849
25,2.30324437,0.506849
26,2.25457939,0.506849
27,2.20783574,0.506849
28,2.16291797,0.506849
29,2.11974166,0.506849
30,2.07823240,0.506849
31,2.03832464,0.506849
32,1.99996047,0.506849
33,1.96308843,0.506849
34,1.92766235,0.506849
35,1.89364024,0.506849
36,1.86098332,0.506849
37,1.82965512,0.506849
38,1.79962070,0.506849
39,1.77084600,0.506849
40,1.74329738,0.506849
41,1.71694116,0.506849
42,1.69174337,0.506849
43,1.66766954,0.506849
44,1.64468463,0.506849
45,1.62275297,0.506849
46,1.60183829,0.506849
47,1.58190388,0.506849
48,1.56291264,0.506849
49,1.54482726,0.506849
50,1.52761040,0.506849
